potential_target,potential_target_type,file,line,matched_mapping_key,matched_mapping_value,replaced
"","","","","si si-notes-add","ti ti-notes",""
"","","","","si si-notes-quill","ti ti-notes",""
"","","","","si si-office-file-","ti ti-file",""
"","","","","si si-office-file-doc-1","ti ti-file-type-doc",""
"","","","","si si-office-file-pdf-1","ti ti-file-type-pdf",""
"","","","","si si-office-file-xls-1","ti ti-file-type-xls",""
"","","","","si si-pencil","ti ti-pencil",""
"","","","","si si-pie-line-graph","ti ti-number",""
"","","","","si si-pin","ti ti-pin",""
"","","","","si si-pin-bold","ti ti-pin",""
"","","","","si si-presentation-statistics","ti ti-presentation-analytics",""
"","","","","si si-question-circle","ti ti-help-circle",""
"","","","","si si-remove","ti ti-x",""
"","","","","si si-remove-circle","ti ti-circle-minus",""
"","","","","si si-road-sign-u-turn-left","ti ti-arrow-back-up",""
"","","","","si si-road-sign-u-turn-right","ti ti-arrow-forward-up",""
"","","","","si si-road-sign-warning","ti ti-alert-triangle",""
"","","","","si si-search","ti ti-search",""
"","","","","si si-send-email","ti ti-mail",""
"","","","","si si-share","ti ti-share",""
"","","","","si si-shopping-cart-check","ti ti-shopping-cart-check",""
"","","","","si si-shrink-1","ti ti-arrows-minimize",""
"","","","","si si-single-neutral-actions","ti ti-user-check",""
"","","","","si si-single-neutral-shield","ti ti-lock-square-rounded",""
"","","","","si si-statistics-daytum","ti ti-brand-google-analytics",""
"","","","","si si-subtract","ti ti-minus",""
"","","","","si si-subtract-circle","ti ti-circle-minus",""
"","","","","si si-subtract-small","ti ti-minus",""
"","","","","si si-synchronize-arrow-clock","ti ti-clock-play",""
"","","","","si si-task-list-1","ti ti-list-check",""
"","","","","si si-task-list-edit","ti ti-checklist",""
"","","","","si si-time-clock-circle","ti ti-clock",""
"","","","","si si-touchpad-finger","ti ti-pointer",""
"","","","","si si-undo","ti ti-arrow-back-up",""
"","","","","si si-user-logout","ti ti-logout",""
"","","","","si si-view-1","ti ti-eye",""
"","","","","fa fa-anchor","ti ti-anchor",""
"","","","","fa fa-angle-double-down","ti ti-chevrons-down",""
"","","","","fa fa-angle-down","ti ti-chevron-down",""
"","","","","fa fa-angle-up","ti ti-chevron-up",""
"","","","","fa fa-ban","ti ti-ban",""
"","","","","fa fa-check-circle-o","ti ti-circle-check",""
"","","","","fa fa-chevron-left","ti ti-chevron-left",""
"","","","","fa fa-chevron-right","ti ti-chevron-right",""
"","","","","fa fa-diamond","ti ti-diamond",""
"","","","","fa fa-ellipsis-h","ti ti-dots",""
"","","","","fa fa-ellipsis-v","ti ti-dots-vertical",""
"","","","","fa fa-filter","ti ti-filter",""
"","","","","fa fa-group","ti ti-users",""
"","","","","fa fa-language","ti ti-language",""
"","","","","fa fa-paper-plane","ti ti-send",""
"","","","","fa fa-paperclip","ti ti-paperclip",""
"","","","","fa fa-play","ti ti-player-play",""
"","","","","fa fa-square","ti ti-square",""
"","","","","fa fa-subway","ti ti-train",""
